"New housing price index, monthly 1 2 3 4 5"
"Frequency: Monthly"
"Table: 18-10-0205-01 (formerly CANSIM 327-0056)"
"Release date: 2023-05-18"
"Geography: Canada, Geographical region of Canada, Province or territory, Census metropolitan area, Census agglomeration"
""
""

,"New housing price indexes","Total (house and land)","Symbol","House only","Symbol","Land only","Symbol"
"Geography","Reference period"
,,"Index, 201612=100",,,,,
,"November 2009","89.3","","90.5","","86.1","E"
,"December 2009","89.9","","91.4","","86.1","E"
,"January 2010","91.5","","92.9","","87.4","E"
,"February 2010","91.5","","92.9","","87.4","E"
,"March 2010","91.5","","92.9","","87.4","E"
,"April 2010","92.5","","94.2","","87.4","E"
,"May 2010","92.7","","94.5","","87.5","E"
,"June 2010","93.0","","94.8","","87.9","E"
,"July 2010","93.0","","94.8","","87.9","E"
,"August 2010","93.0","","94.8","","87.9","E"
,"September 2010","93.0","","94.8","","87.9","E"
,"October 2010","93.0","","94.8","","87.9","E"
,"November 2010","97.0","","97.8","","94.6","E"
,"December 2010","97.0","","97.8","","94.6","E"
,"January 2011","97.2","","97.9","","94.7","E"
,"February 2011","97.2","","97.9","","94.7","E"
,"March 2011","97.2","","97.9","","94.7","E"
,"April 2011","97.1","","97.9","","94.7","E"
,"May 2011","97.0","","97.7","","94.7","E"
,"June 2011","97.0","","97.7","","94.7","E"
,"July 2011","96.9","","97.5","","94.7","E"
,"August 2011","96.9","","97.5","","94.7","E"
,"September 2011","96.9","","97.5","","94.7","E"
,"October 2011","96.9","","97.5","","94.7","E"
,"November 2011","96.9","","97.5","","94.7","E"
,"December 2011","96.9","","97.5","","94.7","E"
,"January 2012","96.5","","97.0","","94.7","E"
,"February 2012","96.5","","97.0","","94.7","E"
,"March 2012","96.8","","97.5","","94.8","E"
,"April 2012","96.8","","97.4","","94.8","E"
,"May 2012","97.0","","97.6","","95.0","E"
,"June 2012","97.1","","97.6","","95.3","E"
,"July 2012","97.7","","98.3","","95.6","E"
,"August 2012","97.7","","98.4","","95.6","E"
,"September 2012","97.5","","98.1","","95.6","E"
,"October 2012","97.5","","98.1","","95.6","E"
,"November 2012","97.5","","98.1","","95.6","E"
,"December 2012","97.5","","98.1","","95.6","E"
,"January 2013","97.7","","98.3","","95.7","E"
,"February 2013","97.7","","98.2","","95.7","E"
,"March 2013","97.7","","98.2","","95.7","E"
,"April 2013","98.6","","99.5","","96.1","E"
,"May 2013","98.8","","99.5","","96.6","E"
,"June 2013","98.8","","99.5","","96.6","E"
,"July 2013","99.4","","100.0","","97.6","E"
,"August 2013","99.6","","100.0","","98.3","E"
,"September 2013","99.6","","100.0","","98.3","E"
,"October 2013","99.6","","100.0","","98.3","E"
,"November 2013","99.6","","100.0","","98.5","E"
,"December 2013","99.6","","100.0","","98.5","E"
,"January 2014","99.6","","100.0","","98.5","E"
,"February 2014","99.6","","100.0","","98.3","E"
,"March 2014","99.9","","100.3","","98.5","E"
,"April 2014","99.9","","100.3","","98.5","E"
,"May 2014","99.8","","100.1","","98.6","E"
,"June 2014","99.7","","100.0","","98.6","E"
,"July 2014","99.7","","100.0","","98.6","E"
,"August 2014","99.7","","100.0","","98.6","E"
,"September 2014","99.7","","100.0","","98.6","E"
,"October 2014","99.7","","100.0","","98.6","E"
,"November 2014","99.9","","100.2","","98.9","E"
,"December 2014","99.9","","100.2","","98.9","E"
,"January 2015","99.9","","100.2","","98.9","E"
,"February 2015","99.9","","100.2","","98.9","E"
,"March 2015","99.9","","100.2","","98.9","E"
,"April 2015","99.9","","100.2","","98.9","E"
,"May 2015","99.8","","99.9","","99.2","E"
,"June 2015","99.8","","99.9","","99.2","E"
,"July 2015","100.1","","100.2","","99.4","E"
,"August 2015","100.1","","100.2","","99.4","E"
,"September 2015","100.1","","100.2","","99.4","E"
,"October 2015","100.1","","100.2","","99.4","E"
,"November 2015","100.3","","100.4","","99.7","E"
,"December 2015","100.3","","100.4","","99.7","E"
,"January 2016","100.3","","100.4","","99.7","E"
,"February 2016","100.3","","100.4","","99.9","E"
,"March 2016","100.2","","100.2","","99.9","E"
,"April 2016","100.2","","100.2","","99.9","E"
,"May 2016","100.3","","100.2","","100.1","E"
,"June 2016","100.3","","100.2","","100.1","E"
,"July 2016","100.0","","99.8","","100.1","E"
,"August 2016","99.8","","99.7","","100.0","E"
,"September 2016","100.0","","100.1","","100.0","E"
,"October 2016","100.0","","100.1","","100.0","E"
,"November 2016","100.0","","100.0","","100.0","E"
,"December 2016","100.0","","100.0","","100.0","E"
,"January 2017","99.6","","99.5","","100.0","E"
,"February 2017","99.6","","99.5","","100.0","E"
,"March 2017","99.5","","99.3","","100.0","E"
,"April 2017","99.5","","99.2","","100.0","E"
,"May 2017","99.5","","99.2","","100.0","E"
,"June 2017","99.4","","99.1","","100.0","E"
,"July 2017","99.4","","99.3","","99.8","E"
,"August 2017","98.9","","98.6","","99.8","E"
,"September 2017","98.9","","98.6","","99.8","E"
,"October 2017","98.9","","98.6","","99.8","E"
,"November 2017","99.0","","98.8","","99.8","E"
,"December 2017","99.0","","98.8","","99.8","E"
,"January 2018","99.0","","98.8","","99.8","E"
,"February 2018","99.0","","98.8","","99.8","E"
,"March 2018","99.0","","98.8","","99.8","E"
,"April 2018","99.0","","98.8","","99.8","E"
,"May 2018","98.9","","98.6","","99.8","E"
,"June 2018","98.7","","98.3","","99.8","E"
,"July 2018","98.9","","98.4","","100.1","E"
,"August 2018","98.9","","98.4","","100.1","E"
,"September 2018","98.5","","97.9","","100.1","E"
,"October 2018","98.4","","97.7","","100.1","E"
,"November 2018","98.0","","97.2","","100.1","E"
,"December 2018","98.1","","97.2","","100.1","E"
,"January 2019","98.1","","97.3","","100.1","E"
,"February 2019","98.1","","97.3","","100.1","E"
,"March 2019","98.1","","97.3","","100.1","E"
,"April 2019","97.8","","96.9","","100.1","E"
,"May 2019","97.8","","96.9","","100.1","E"
,"June 2019","97.3","","96.1","","100.1","E"
,"July 2019","97.1","","95.9","","100.1","E"
,"August 2019","96.9","","95.8","","99.7","E"
,"September 2019","97.0","","95.8","","99.8","E"
,"October 2019","97.3","","96.3","","99.8","E"
,"November 2019","97.4","","96.3","","99.9","E"
,"December 2019","97.4","","96.3","","99.9","E"
,"January 2020","97.4","","96.3","","99.9","E"
,"February 2020","97.4","","96.3","","99.9","E"
,"March 2020","97.2","","96.0","","99.9","E"
,"April 2020","97.2","","96.0","","99.9","E"
,"May 2020","97.2","","96.0","","99.9","E"
,"June 2020","97.2","","96.0","","99.9","E"
,"July 2020","96.9","","95.7","","99.7","E"
,"August 2020","96.9","","95.8","","99.7","E"
,"September 2020","98.0","","97.2","","99.9","E"
,"October 2020","100.0","","100.3","","99.9","E"
,"November 2020","100.5","","101.1","","99.9","E"
,"December 2020","100.7","","101.4","","99.9","E"
,"January 2021","100.7","","101.3","","99.9","E"
,"February 2021","100.7","","101.3","","99.9","E"
,"March 2021","101.5","","102.5","","99.9","E"
,"April 2021","102.1","","103.3","","99.9","E"
,"May 2021","101.7","","102.8","","99.9","E"
,"June 2021","102.2","","103.5","","99.9","E"
,"July 2021","102.3","","103.6","","99.9","E"
,"August 2021","102.8","","103.7","","101.8","E"
,"September 2021","102.3","","103.1","","101.8","E"
,"October 2021","102.3","","103.1","","101.8","E"
,"November 2021","103.5","","104.7","","102.4","E"
,"December 2021","103.5","","104.7","","102.4","E"
,"January 2022","104.7","","106.7","","102.4","E"
,"February 2022","104.7","","106.7","","102.4","E"
,"March 2022","104.7","","106.7","","102.4","E"
,"April 2022","104.7","","106.7","","102.4","E"
,"May 2022","104.7","","106.7","","102.4","E"
,"June 2022","105.2","","107.4","","102.4","E"
,"July 2022","105.2","","107.4","","102.4","E"
,"August 2022","105.2","","107.4","","102.4","E"
,"September 2022","105.6","","108.1","","102.4","E"
,"October 2022","105.6","","108.1","","102.4","E"
,"November 2022","105.6","","108.1","","102.4","E"
,"December 2022","105.6","","108.1","","102.4","E"
,"January 2023","106.2","","108.8","","102.4","E"
,"February 2023","106.2","","108.8","","102.4","E"
,"March 2023","106.2","","108.8","","102.4","E"
,"April 2023","105.8","","108.3","","102.4","E"
"Charlottetown, Prince Edward Island","January 1981","","..","","..","",".."
,"February 1981","","..","","..","",".."
,"March 1981","","..","","..","",".."
,"April 1981","","..","","..","",".."
,"May 1981","","..","","..","",".."
,"June 1981","","..","","..","",".."
,"July 1981","","..","","..","",".."
,"August 1981","","..","","..","",".."
,"September 1981","","..","","..","",".."
,"October 1981","","..","","..","",".."
,"November 1981","","..","","..","",".."
,"December 1981","","..","","..","",".."
,"January 1982","","..","","..","",".."
,"February 1982","","..","","..","",".."
,"March 1982","","..","","..","",".."
,"April 1982","","..","","..","",".."
,"May 1982","","..","","..","",".."
,"June 1982","","..","","..","",".."
,"July 1982","","..","","..","",".."
,"August 1982","","..","","..","",".."
,"September 1982","","..","","..","",".."
,"October 1982","","..","","..","",".."
,"November 1982","","..","","..","",".."
,"December 1982","","..","","..","",".."
,"January 1983","","..","","..","",".."
,"February 1983","","..","","..","",".."
,"March 1983","","..","","..","",".."
,"April 1983","","..","","..","",".."
,"May 1983","","..","","..","",".."
,"June 1983","","..","","..","",".."
,"July 1983","","..","","..","",".."
,"August 1983","","..","","..","",".."
,"September 1983","","..","","..","",".."
,"October 1983","","..","","..","",".."
,"November 1983","","..","","..","",".."
,"December 1983","","..","","..","",".."
,"January 1984","","..","","..","",".."
,"February 1984","","..","","..","",".."
,"March 1984","","..","","..","",".."
,"April 1984","","..","","..","",".."
,"May 1984","","..","","..","",".."
,"June 1984","","..","","..","",".."
,"July 1984","","..","","..","",".."
,"August 1984","","..","","..","",".."
,"September 1984","","..","","..","",".."
,"October 1984","","..","","..","",".."
,"November 1984","","..","","..","",".."
,"December 1984","","..","","..","",".."
,"January 1985","","..","","..","",".."
,"February 1985","","..","","..","",".."
,"March 1985","","..","","..","",".."
,"April 1985","","..","","..","",".."
,"May 1985","","..","","..","",".."
,"June 1985","","..","","..","",".."
,"July 1985","","..","","..","",".."
,"August 1985","","..","","..","",".."
,"September 1985","","..","","..","",".."
,"October 1985","","..","","..","",".."
,"November 1985","","..","","..","",".."
,"December 1985","","..","","..","",".."
,"January 1986","","..","","..","",".."
,"February 1986","","..","","..","",".."
,"March 1986","","..","","..","",".."
,"April 1986","","..","","..","",".."
,"May 1986","","..","","..","",".."
,"June 1986","","..","","..","",".."
,"July 1986","","..","","..","",".."
,"August 1986","","..","","..","",".."
,"September 1986","","..","","..","",".."
,"October 1986","","..","","..","",".."
